year,city,n
2008,Sinop,300
2008,Sirnak,0
2008,Sivas,344
2008,Tekirdag,0
2008,Tokat,200
2008,Trabzon,330
2008,Tunceli,0
2008,Usak,351
2008,Van,1408
2008,Yalova,185
2008,Yozgat,0
2008,Zonguldak,0
2009,Adana,1499
2009,Adiyaman,0
2009,Afyonkarahisar,660
2009,Agri,0
2009,Aksaray,0
2009,Amasya,0
2009,Ankara,7621
2009,Antalya,908
2009,Ardahan,0
2009,Artvin,0
2009,Aydin,0
2009,Balikesir,0
2009,Bartin,0
2009,Batman,297
2009,Bayburt,0
2009,Bilecik,0
2009,Bingol,0
2009,Bitlis,214
2009,Bolu,200
2009,Burdur,0
2009,Bursa,2188
2009,Canakkale,0
2009,Cankiri,0
2009,Corum,418
2009,Denizli,0
2009,Diyarbakir,701
2009,Duzce,0
2009,Edirne,0
2009,Elazig,3000
2009,Erzincan,500
2009,Erzurum,655
2009,Eskisehir,2391
2009,Gaziantep,0
2009,Giresun,170
2009,Gumushane,0
2009,Hakkari,300
2009,Hatay,270
2009,Igdir,0
2009,Isparta,0
2009,Istanbul,32448
2009,Izmir,12352
2009,Kahramanmaras,480
2009,Karabuk,0
2009,Karaman,0
2009,Kars,311
2009,Kastamonu,0
2009,Kayseri,544
2009,Kilis,0
2009,Kirikkale,0
2009,Kirklareli,633
2009,Kirsehir,0
2009,Kocaeli,845
2009,Konya,893
2009,Kutahya,390
2009,Malatya,0
2009,Manisa,1641
2009,Mardin,0
2009,Mersin,1020
2009,Mugla,0
2009,Mus,0
2009,Nevsehir,0
2009,Nigde,0
2009,Ordu,207
2009,Osmaniye,654
2009,Rize,0
2009,Sakarya,676
2009,Samsun,1414
2009,Sanliurfa,325
2009,Siirt,0
2009,Sinop,550
2009,Sirnak,0
2009,Sivas,344
2009,Tekirdag,0
2009,Tokat,0
2009,Trabzon,330
2009,Tunceli,0
2009,Usak,351
2009,Van,1699
2009,Yalova,0
2009,Yozgat,0
2009,Zonguldak,0
2010,Adana,1633
2010,Adiyaman,638
2010,Afyonkarahisar,300
2010,Agri,0
2010,Aksaray,1068
2010,Amasya,0
2010,Ankara,8218
2010,Antalya,2271
2010,Ardahan,180
2010,Artvin,0
2010,Aydin,5025
2010,Balikesir,0
2010,Bartin,120
2010,Batman,566
2010,Bayburt,0
2010,Bilecik,0
2010,Bingol,725
2010,Bitlis,850
2010,Bolu,1099
2010,Burdur,0
2010,Bursa,6911
2010,Canakkale,0
2010,Cankiri,0
2010,Corum,724
2010,Denizli,1977
2010,Diyarbakir,701
2010,Duzce,723
2010,Edirne,0
2010,Elazig,1077
2010,Erzincan,500
2010,Erzurum,510
2010,Eskisehir,3544
2010,Gaziantep,1050
2010,Giresun,418
2010,Gumushane,0
2010,Hakkari,300
2010,Hatay,1526
2010,Igdir,500
2010,Isparta,0
2010,Istanbul,45886
2010,Izmir,22411
2010,Kahramanmaras,658
2010,Karabuk,1150
2010,Karaman,0
2010,Kars,650
2010,Kastamonu,0
2010,Kayseri,2526
2010,Kilis,0
2010,Kirikkale,342
2010,Kirklareli,1143
2010,Kirsehir,1978
2010,Kocaeli,3866
2010,Konya,893
2010,Kutahya,383
2010,Malatya,1276
2010,Manisa,2091
2010,Mardin,1106
2010,Mersin,1020
2010,Mugla,10850
2010,Mus,0
2010,Nevsehir,1625
2010,Nigde,1410
2010,Ordu,397
2010,Osmaniye,994
2010,Rize,0
2010,Sakarya,2588
2010,Samsun,1528
2010,Sanliurfa,1593
2010,Siirt,700
2010,Sinop,650
2010,Sirnak,0
2010,Sivas,344
2010,Tekirdag,0
2010,Tokat,0
2010,Trabzon,470
2010,Tunceli,505
2010,Usak,801
2010,Van,892
2010,Yalova,546
2010,Yozgat,0
2010,Zonguldak,735
2011,Adana,2722
2011,Adiyaman,638
2011,Afyonkarahisar,300
2011,Agri,245
2011,Aksaray,1488
2011,Amasya,0
2011,Ankara,7306
2011,Antalya,3575
2011,Ardahan,380
2011,Artvin,445
2011,Aydin,4745
2011,Balikesir,0
2011,Bartin,247
2011,Batman,594
2011,Bayburt,0
2011,Bilecik,0
2011,Bingol,810
2011,Bitlis,410
2011,Bolu,891
2011,Burdur,600
2011,Bursa,5448
2011,Canakkale,0
2011,Cankiri,306
2011,Corum,706
2011,Denizli,3892
2011,Diyarbakir,721
2011,Duzce,735
2011,Edirne,0
2011,Elazig,2106
2011,Erzincan,1000
2011,Erzurum,1785
2011,Eskisehir,3140
2011,Gaziantep,1050
2011,Giresun,334
2011,Gumushane,376
2011,Hakkari,0
2011,Hatay,2834
2011,Igdir,360
2011,Isparta,755
2011,Istanbul,54736
2011,Izmir,27840
2011,Kahramanmaras,963
2011,Karabuk,1683
2011,Karaman,0
2011,Kars,650
2011,Kastamonu,574
2011,Kayseri,3081
2011,Kilis,250
2011,Kirikkale,656
2011,Kirklareli,150
2011,Kirsehir,1076
2011,Kocaeli,3322
2011,Konya,2393
2011,Kutahya,1322
2011,Malatya,3057
2011,Manisa,2494
2011,Mardin,1116
2011,Mersin,2267
2011,Mugla,11526
2011,Mus,0
2011,Nevsehir,1704
2011,Nigde,1374
2011,Ordu,1090
2011,Osmaniye,1250
2011,Rize,820
2011,Sakarya,2365
2011,Samsun,1440
2011,Sanliurfa,1800
2011,Siirt,650
2011,Sinop,1210
2011,Sirnak,0
2011,Sivas,2189
2011,Tekirdag,0
2011,Tokat,0
2011,Trabzon,2295
2011,Tunceli,580
2011,Usak,491
2011,Van,412
2011,Yalova,1099
2011,Yozgat,2415
2011,Zonguldak,736
2012,Adana,3629
2012,Adiyaman,638
2012,Afyonkarahisar,305
2012,Agri,520
2012,Aksaray,1033
2012,Amasya,705
2012,Ankara,7713
2012,Antalya,4056
2012,Ardahan,420
2012,Artvin,445
2012,Aydin,5421
2012,Balikesir,6500
2012,Bartin,886
2012,Batman,812
2012,Bayburt,378
2012,Bilecik,0
2012,Bingol,1043
2012,Bitlis,955
2012,Bolu,891
2012,Burdur,559
2012,Bursa,9083
2012,Canakkale,3059
2012,Cankiri,306
2012,Corum,774
2012,Denizli,3505
2012,Diyarbakir,1196
2012,Duzce,705
2012,Edirne,0
2012,Elazig,2329
2012,Erzincan,406
2012,Erzurum,1785
2012,Eskisehir,4132
2012,Gaziantep,897
2012,Giresun,1219
2012,Gumushane,395
2012,Hakkari,300
2012,Hatay,2907
2012,Igdir,505
2012,Isparta,500
2012,Istanbul,55999
2012,Izmir,29541
2012,Kahramanmaras,2283
2012,Karabuk,1691
2012,Karaman,0
2012,Kars,300
2012,Kastamonu,574
2012,Kayseri,2981
2012,Kilis,330
2012,Kirikkale,342
2012,Kirklareli,337
2012,Kirsehir,1980
2012,Kocaeli,3812
2012,Konya,2319
2012,Kutahya,1348
2012,Malatya,3509
2012,Manisa,3485
2012,Mardin,1907
2012,Mersin,3891
2012,Mugla,11447
2012,Mus,230
2012,Nevsehir,2781
2012,Nigde,830
2012,Ordu,1224
2012,Osmaniye,507
2012,Rize,1632
2012,Sakarya,1307
2012,Samsun,3113
2012,Sanliurfa,795
2012,Siirt,804
2012,Sinop,1140
2012,Sirnak,950
2012,Sivas,2350
2012,Tekirdag,610
2012,Tokat,750
2012,Trabzon,3517
2012,Tunceli,1530
2012,Usak,491
2012,Van,412
2012,Yalova,1119
2012,Yozgat,1955
2012,Zonguldak,2400
2013,Adana,3361
2013,Adiyaman,638
2013,Afyonkarahisar,1955
2013,Agri,280
2013,Aksaray,2198
2013,Amasya,663
2013,Ankara,11055
2013,Antalya,5339
2013,Ardahan,380
2013,Artvin,6295
2013,Aydin,3602
2013,Balikesir,11992
2013,Bartin,1348
2013,Batman,816
2013,Bayburt,309
2013,Bilecik,0
2013,Bingol,910
2013,Bitlis,1178
2013,Bolu,899
2013,Burdur,860
2013,Bursa,6067
2013,Canakkale,4490
2013,Cankiri,319
2013,Corum,724
2013,Denizli,3859
2013,Diyarbakir,1429
2013,Duzce,730
2013,Edirne,972
2013,Elazig,2859
2013,Erzincan,406
2013,Erzurum,1285
2013,Eskisehir,3719
2013,Gaziantep,874
2013,Giresun,956
2013,Gumushane,580
2013,Hakkari,300
2013,Hatay,3150
2013,Igdir,505
2013,Isparta,1325
2013,Istanbul,61459
2013,Izmir,21955
2013,Kahramanmaras,2561
2013,Karabuk,800
2013,Karaman,370
2013,Kars,642
2013,Kastamonu,696
2013,Kayseri,4296
2013,Kilis,330
2013,Kirikkale,342
2013,Kirklareli,723
2013,Kirsehir,1296
2013,Kocaeli,3806
2013,Konya,2815
2013,Kutahya,1532
2013,Malatya,5765
2013,Manisa,2748
2013,Mardin,1747
2013,Mersin,7964
2013,Mugla,10600
2013,Mus,960
2013,Nevsehir,2464
2013,Nigde,819
2013,Ordu,2220
2013,Osmaniye,1100
2013,Rize,1020
2013,Sakarya,2820
2013,Samsun,2696
2013,Sanliurfa,780
2013,Siirt,688
2013,Sinop,1690
2013,Sirnak,300
2013,Sivas,1499
2013,Tekirdag,605
2013,Tokat,751
2013,Trabzon,2710
2013,Tunceli,1901
2013,Usak,491
2013,Van,561
2013,Yalova,995
2013,Yozgat,1422
2013,Zonguldak,4245
2014,Adana,3543
2014,Adiyaman,307
2014,Afyonkarahisar,1850
2014,Agri,260
2014,Aksaray,1023
2014,Amasya,675
2014,Ankara,16042
2014,Antalya,5975
2014,Ardahan,350
2014,Artvin,1613
2014,Aydin,5628
2014,Balikesir,4819
2014,Bartin,1233
2014,Batman,866
2014,Bayburt,386
2014,Bilecik,0
2014,Bingol,1050
2014,Bitlis,761
2014,Bolu,2026
2014,Burdur,809
2014,Bursa,5748
2014,Canakkale,3832
2014,Cankiri,319
2014,Corum,350
2014,Denizli,5808
2014,Diyarbakir,3930
2014,Duzce,720
2014,Edirne,970
2014,Elazig,1960
2014,Erzincan,406
2014,Erzurum,1290
2014,Eskisehir,3918
2014,Gaziantep,4967
2014,Giresun,1080
2014,Gumushane,315
2014,Hakkari,492
2014,Hatay,2682
2014,Igdir,505
2014,Isparta,995
2014,Istanbul,68159
2014,Izmir,25389
2014,Kahramanmaras,2697
2014,Karabuk,940
2014,Karaman,866
2014,Kars,659
2014,Kastamonu,701
2014,Kayseri,4742
2014,Kilis,922
2014,Kirikkale,340
2014,Kirklareli,898
2014,Kirsehir,286
2014,Kocaeli,2703
2014,Konya,5060
2014,Kutahya,1906
2014,Malatya,2804
2014,Manisa,2335
2014,Mardin,1277
2014,Mersin,6625
2014,Mugla,11150
2014,Mus,1001
2014,Nevsehir,1976
2014,Nigde,380
2014,Ordu,2887
2014,Osmaniye,2053
2014,Rize,1625
2014,Sakarya,2206
2014,Samsun,1892
2014,Sanliurfa,1934
2014,Siirt,2406
2014,Sinop,1715
2014,Sirnak,480
2014,Sivas,1800
2014,Tekirdag,2835
2014,Tokat,1151
2014,Trabzon,3300
2014,Tunceli,557
2014,Usak,700
2014,Van,513
2014,Yalova,839
2014,Yozgat,1616
2014,Zonguldak,2749
2015,Adana,4231
2015,Adiyaman,307
2015,Afyonkarahisar,790
2015,Agri,1082
2015,Aksaray,1023
2015,Amasya,685
2015,Ankara,13549
2015,Antalya,5968
2015,Ardahan,350
2015,Artvin,1213
2015,Aydin,3429
2015,Balikesir,2708
2015,Bartin,1424
2015,Batman,769
2015,Bayburt,306
2015,Bilecik,0
2015,Bingol,820
2015,Bitlis,551
2015,Bolu,2328
2015,Burdur,1103
2015,Bursa,4801
2015,Canakkale,1182
2015,Cankiri,319
2015,Corum,768
2015,Denizli,1792
2015,Diyarbakir,1077
2015,Duzce,500
2015,Edirne,922
2015,Elazig,2043
2015,Erzincan,406
2015,Erzurum,251
2015,Eskisehir,4021
2015,Gaziantep,4158
2015,Giresun,1443
2015,Gumushane,315
2015,Hakkari,500
2015,Hatay,5133
2015,Igdir,505
2015,Isparta,934
2015,Istanbul,76749
2015,Izmir,23616
2015,Kahramanmaras,2912
2015,Karabuk,1161
2015,Karaman,781
2015,Kars,659
2015,Kastamonu,1201
2015,Kayseri,4599
2015,Kilis,999
2015,Kirikkale,342
2015,Kirklareli,1308
2015,Kirsehir,286
2015,Kocaeli,5497
2015,Konya,6422
2015,Kutahya,2417
2015,Malatya,4711
2015,Manisa,2600
2015,Mardin,1717
2015,Mersin,7505
2015,Mugla,4293
2015,Mus,510
2015,Nevsehir,1608
2015,Nigde,369
2015,Ordu,3107
2015,Osmaniye,876
2015,Rize,825
2015,Sakarya,3496
2015,Samsun,2827
2015,Sanliurfa,1672
2015,Siirt,1138
2015,Sinop,1496
2015,Sirnak,180
2015,Sivas,1793
2015,Tekirdag,3031
2015,Tokat,1151
2015,Trabzon,5570
2015,Tunceli,280
2015,Usak,694
2015,Van,658
2015,Yalova,789
2015,Yozgat,931
2015,Zonguldak,2450
2016,Adana,4615
2016,Adiyaman,915
2016,Afyonkarahisar,750
2016,Agri,1078
2016,Aksaray,1043
2016,Amasya,905
2016,Ankara,14857
2016,Antalya,5304
2016,Ardahan,0
2016,Artvin,837
2016,Aydin,4360
2016,Balikesir,3008
2016,Bartin,850
2016,Batman,1410
2016,Bayburt,272
2016,Bilecik,0
2016,Bingol,2050
2016,Bitlis,875
2016,Bolu,2323
2016,Burdur,2112
2016,Bursa,4423
2016,Canakkale,2550
2016,Cankiri,319
2016,Corum,768
2016,Denizli,3258
2016,Diyarbakir,3093
2016,Duzce,650
2016,Edirne,2060
2016,Elazig,2090
2016,Erzincan,0
2016,Erzurum,251
2016,Eskisehir,4024
2016,Gaziantep,7296
2016,Giresun,1033
2016,Gumushane,350
2016,Hakkari,360
2016,Hatay,3972
2016,Igdir,460
2016,Isparta,934
2016,Istanbul,69493
2016,Izmir,21977
2016,Kahramanmaras,2207
2016,Karabuk,1271
2016,Karaman,371
2016,Kars,657
2016,Kastamonu,1702
2016,Kayseri,5546
2016,Kilis,910
2016,Kirikkale,342
2016,Kirklareli,1228
2016,Kirsehir,286
2016,Kocaeli,5512
2016,Konya,6036
2016,Kutahya,1413
2016,Malatya,3716
2016,Manisa,2769
2016,Mardin,890
2016,Mersin,6690
2016,Mugla,6958
2016,Mus,530
2016,Nevsehir,1954
2016,Nigde,369
2016,Ordu,2891
2016,Osmaniye,1193
2016,Rize,2275
2016,Sakarya,2433
2016,Samsun,2727
2016,Sanliurfa,1927
2016,Siirt,650
2016,Sinop,1626
2016,Sirnak,0
2016,Sivas,1444
2016,Tekirdag,2354
2016,Tokat,1151
2016,Trabzon,4828
2016,Tunceli,740
2016,Usak,554
2016,Van,380
2016,Yalova,799
2016,Yozgat,1666
2016,Zonguldak,3965
2016,NA,NA
